pass_id,target_peak_elevation_deg,actual_peak_elevation_deg,peak_error_deg,aos_utc,first_sample_utc,tca_utc,last_sample_utc,los_utc,duration_seconds,sample_count,min_slant_range_m,max_slant_range_m,start_doppler_hz,end_doppler_hz
0,10.450000000000,10.448382396642,0.001617603358,2026-09-05T03:10:13.287554Z,2026-09-05T03:10:14Z,2026-09-05T03:11:13Z,2026-09-05T03:11:58Z,2026-09-05T03:11:58.735172Z,105.447618000000,105,2166433.363608823624,2205978.733380955178,1953.127140182517,-1532.741286009032
1,30.065000000000,21.656799147327,8.408200852673,2026-09-04T19:16:48.530175Z,2026-09-04T19:16:49Z,2026-09-04T19:20:12Z,2026-09-04T19:23:19Z,2026-09-04T19:23:19.740333Z,391.210158000000,391,1358541.998350265203,2010218.376675738022,7816.827387792899,-7558.360164496155
2,49.680000000000,42.978143508276,6.701856491724,2026-09-04T17:39:15.178393Z,2026-09-04T17:39:16Z,2026-09-04T17:43:26Z,2026-09-04T17:47:21Z,2026-09-04T17:47:21.138802Z,485.960409000000,486,853084.453296230524,2001789.204389504855,9484.098683151746,-9460.434296164671
3,69.295000000000,70.902403225433,1.607403225433,2026-09-06T05:12:33.937110Z,2026-09-06T05:12:34Z,2026-09-06T05:17:31Z,2026-09-06T05:22:15Z,2026-09-06T05:22:15.645363Z,581.708253000000,582,761783.337769918260,2239399.455591729842,9646.823129660779,-9646.809715853724
4,88.910000000000,88.908365362029,0.001634637971,2026-09-05T18:09:24.490934Z,2026-09-05T18:09:25Z,2026-09-05T18:13:46Z,2026-09-05T18:17:52Z,2026-09-05T18:17:52.984688Z,508.493754000000,508,607095.881281066337,1999092.215106050251,10053.472216166992,-10070.753002651078
